Lat,Lon,City,State,Highlight,Decade,Count,Links
42.726,-87.7825,"Racine","Wisconsin","All","1990",2,0
40.74838,-73.996705,"New York","New York","Art","1960",4,0
40.74838,-73.996705,"New York","New York","Art","All",41,1
32.790439,-96.80439,"Dallas","Texas","Music","1990",3,0
32.790439,-96.80439,"Dallas","Texas","Music","All",3,0
31.567783,-84.161923,"Albany","Georgia","All","All",5,0
31.567783,-84.161923,"Albany","Georgia","All","1980",1,0
31.567783,-84.161923,"Albany","Georgia","History","1980",1,0
31.567783,-84.161923,"Albany","Georgia","History","All",1,0
42.9704,-85.6738,"Grand Rapids","Michigan","All","All",3,0
42.9704,-85.6738,"Grand Rapids","Michigan","All","1990",2,0
37.431027,-77.654458,"Midlothian","Virginia","All","All",1,0
37.431027,-77.654458,"Midlothian","Virginia","All","1990",1,0
37.431027,-77.654458,"Midlothian","Virginia","History","1990",1,0
37.431027,-77.654458,"Midlothian","Virginia","History","All",1,0
38.912217,-77.017691,"Washington","District of Columbia","All","1820",3,0
40.74838,-73.996705,"New York","New York","All","1950",43,0
40.444025,-86.923661,"West Lafayette","Indiana","All","All",7,0
40.444025,-86.923661,"West Lafayette","Indiana","All","1980",4,0
38.837717,-76.798028,"Upper Marlboro","Maryland","All","All",2,0
38.837717,-76.798028,"Upper Marlboro","Maryland","All","1990",1,0
40.74838,-73.996705,"New York","New York","Culture","1970",3,0
40.74838,-73.996705,"New York","New York","Culture","1980",3,0
40.74838,-73.996705,"New York","New York","Culture","All",11,0
32.965986,-96.745249,"Richardson","Texas","All","All",1,0
32.965986,-96.745249,"Richardson","Texas","All","1990",1,0
35.2269,-80.8433,"Charlotte","North Carolina","All","All",20,0
35.2269,-80.8433,"Charlotte","North Carolina","All","1990",3,0
38.912217,-77.017691,"Washington","District of Columbia","All","1950",34,0
40.1162,-75.0141,"Philadelphia","Pennsylvania","All","All",124,1
40.1162,-75.0141,"Philadelphia","Pennsylvania","All","1820",1,0
41.168343,-96.209633,"Omaha","Nebraska","All","All",18,0
41.168343,-96.209633,"Omaha","Nebraska","All","1980",3,0
41.168343,-96.209633,"Omaha","Nebraska","Poetry","1980",1,0
41.168343,-96.209633,"Omaha","Nebraska","Poetry","All",1,0
38.912217,-77.017691,"Washington","District of Columbia","All","1830",2,0
38.912217,-77.017691,"Washington","District of Columbia","All","1840",2,1
38.912217,-77.017691,"Washington","District of Columbia","All","1850",3,1
38.912217,-77.017691,"Washington","District of Columbia","All","1860",4,1
38.912217,-77.017691,"Washington","District of Columbia","All","1870",5,0
38.912217,-77.017691,"Washington","District of Columbia","All","1880",8,0
38.912217,-77.017691,"Washington","District of Columbia","All","1890",10,0
42.738805,-84.476409,"East Lansing","Michigan","All","1970",1,0
40.74838,-73.996705,"New York","New York","Music","1940",2,0
40.74838,-73.996705,"New York","New York","Music","1950",4,0
40.74838,-73.996705,"New York","New York","Music","All",39,0
39.925833,-75.12,"Camden","New Jersey","All","All",4,0
39.925833,-75.12,"Camden","New Jersey","All","1970",2,0
40.74838,-73.996705,"New York","New York","Poetry","1990",4,0
38.912217,-77.017691,"Washington","District of Columbia","Civil rights","1970",8,0
38.912217,-77.017691,"Washington","District of Columbia","Education","1970",13,0
38.912217,-77.017691,"Washington","District of Columbia","Civil rights","All",15,0
38.912217,-77.017691,"Washington","District of Columbia","Education","All",32,0
42.377017,-72.51565,"Amherst","Massachusetts","Art","1990",1,0
42.377017,-72.51565,"Amherst","Massachusetts","Culture","1990",1,0
42.377017,-72.51565,"Amherst","Massachusetts","Art","All",2,0
42.377017,-72.51565,"Amherst","Massachusetts","Culture","All",1,0
40.696811,-74.228065,"Hillside","New Jersey","All","All",1,0
40.696811,-74.228065,"Hillside","New Jersey","All","1990",1,0
38.996303,-76.929891,"College Park","Maryland","All","All",4,0
38.996303,-76.929891,"College Park","Maryland","All","1980",2,0
40.1162,-75.0141,"Philadelphia","Pennsylvania","All","1990",34,0
38.912217,-77.017691,"Washington","District of Columbia","History","1990",7,0
47.2764,-122.7583,"Tacoma","Washington","All","All",6,0
47.2764,-122.7583,"Tacoma","Washington","All","1990",1,0
33.7564,-84.3918,"Atlanta","Georgia","All","1970",40,0
33.7564,-84.3918,"Atlanta","Georgia","History","1970",3,0
33.7564,-84.3918,"Atlanta","Georgia","History","All",8,0
37.621944,-122.381944,"San Francisco","California","All","1970",17,0
37.621944,-122.381944,"San Francisco","California","History","1970",2,0
37.621944,-122.381944,"San Francisco","California","History","All",3,0
39.0867,-77.5775,"Leesburg","Virginia","All","All",1,0
